サンプル 1
2018/06/17 9:37
波長 (nm)	10mm Absorbance
//WLCalib: Shift 	0.84667	
//WLCalib: 261S 	0.51000	
//WLCalib: 362S 	0.41000	
//WLCalib: 484S 	0.41000	
//WLCalib: 529S 	0.87000	
//WLCalib: 823S 	-1.93000	
//QSpecEnd: 
220.0	3.934
220.5	3.808
221.0	3.692
221.5	3.578
222.0	3.473
222.5	3.369
223.0	3.271
223.5	3.180
224.0	3.099
224.5	3.035
225.0	2.986
225.5	2.947
226.0	2.920
226.5	2.898
227.0	2.883
227.5	2.872
228.0	2.866
228.5	2.865
229.0	2.870
229.5	2.878
230.0	2.889
230.5	2.904
231.0	2.924
231.5	2.954
232.0	2.987
232.5	3.026
233.0	3.071
233.5	3.123
234.0	3.181
234.5	3.244
235.0	3.309
235.5	3.378
236.0	3.451
236.5	3.528
237.0	3.614
237.5	3.712
238.0	3.812
238.5	3.911
239.0	4.004
239.5	4.088
240.0	4.169
240.5	4.247
241.0	4.324
241.5	4.404
242.0	4.489
242.5	4.583
243.0	4.680
243.5	4.771
244.0	4.860
244.5	4.946
245.0	5.030
245.5	5.119
246.0	5.209
246.5	5.299
247.0	5.391
247.5	5.479
248.0	5.561
248.5	5.637
249.0	5.709
249.5	5.783
250.0	5.860
250.5	5.939
251.0	6.024
251.5	6.107
252.0	6.189
252.5	6.265
253.0	6.323
253.5	6.374
254.0	6.416
254.5	6.447
255.0	6.473
255.5	6.492
256.0	6.504
256.5	6.506
257.0	6.499
257.5	6.494
258.0	6.482
258.5	6.467
259.0	6.450
259.5	6.430
260.0	6.408
260.5	6.384
261.0	6.355
261.5	6.321
262.0	6.283
262.5	6.234
263.0	6.176
263.5	6.105
264.0	6.026
264.5	5.948
265.0	5.864
265.5	5.782
266.0	5.700
266.5	5.615
267.0	5.518
267.5	5.410
268.0	5.308
268.5	5.213
269.0	5.121
269.5	5.028
270.0	4.933
270.5	4.839
271.0	4.744
271.5	4.645
272.0	4.542
272.5	4.436
273.0	4.329
273.5	4.225
274.0	4.121
274.5	4.014
275.0	3.901
275.5	3.784
276.0	3.668
276.5	3.552
277.0	3.436
277.5	3.320
278.0	3.207
278.5	3.097
279.0	2.993
279.5	2.896
280.0	2.799
280.5	2.701
281.0	2.605
281.5	2.510
282.0	2.417
282.5	2.325
283.0	2.237
283.5	2.154
284.0	2.073
284.5	1.995
285.0	1.918
285.5	1.838
286.0	1.752
286.5	1.663
287.0	1.580
287.5	1.503
288.0	1.428
288.5	1.354
289.0	1.283
289.5	1.210
290.0	1.137
290.5	1.063
291.0	0.988
291.5	0.921
292.0	0.858
292.5	0.796
293.0	0.737
293.5	0.678
294.0	0.624
294.5	0.572
295.0	0.524
295.5	0.481
296.0	0.443
296.5	0.408
297.0	0.376
297.5	0.344
298.0	0.314
298.5	0.285
299.0	0.258
299.5	0.233
300.0	0.211
300.5	0.190
301.0	0.172
301.5	0.152
302.0	0.134
302.5	0.120
303.0	0.105
303.5	0.093
304.0	0.081
304.5	0.071
305.0	0.062
305.5	0.057
306.0	0.051
306.5	0.045
307.0	0.041
307.5	0.035
308.0	0.032
308.5	0.027
309.0	0.025
309.5	0.022
310.0	0.020
310.5	0.018
311.0	0.017
311.5	0.016
312.0	0.015
312.5	0.015
313.0	0.014
313.5	0.011
314.0	0.009
314.5	0.008
315.0	0.009
315.5	0.009
316.0	0.009
316.5	0.009
317.0	0.008
317.5	0.007
318.0	0.008
318.5	0.006
319.0	0.005
